rank,product_id,category,unique_users,views,purchases,view_to_cart_rate,view_to_purchase_rate,cart_to_purchase_rate,total_revenue,avg_price,revenue_per_user
433,28789,Top Performer,5,2,5,0.0,250.0,0.0,1478.28,295.656,295.66
179,132633,Top Performer,8,3,7,0.0,233.33,0.0,2238.19,319.74142857142857,279.77
2698,192003,Top Performer,4,1,2,500.0,200.0,40.0,568.51,284.255,142.13
2772,1510,Top Performer,2,1,2,400.0,200.0,50.0,552.39,276.195,276.2
3139,111436,Top Performer,2,1,2,400.0,200.0,50.0,496.96,248.48,248.48
868,376151,Top Performer,4,3,3,100.0,100.0,100.0,1068.2,356.06666666666666,267.05
928,278380,Top Performer,6,3,3,133.33,100.0,75.0,1030.67,343.5566666666667,171.78
1406,23040,Top Performer,3,2,2,50.0,100.0,200.0,851.44,425.72,283.81
2574,453427,Top Performer,5,2,2,150.0,100.0,66.67,586.96,293.48,117.39
3229,69410,Top Performer,1,1,1,100.0,100.0,100.0,492.44,492.44,492.44
3868,136034,Top Performer,2,1,1,0.0,100.0,0.0,462.02,462.02,231.01
3920,72462,Top Performer,2,1,1,0.0,100.0,0.0,459.34,459.34,229.67
4023,203569,Top Performer,1,1,1,100.0,100.0,100.0,455.11,455.11,455.11
4103,454272,Top Performer,3,2,2,50.0,100.0,200.0,451.49,225.745,150.5
4672,403933,Top Performer,1,1,1,100.0,100.0,100.0,423.59,423.59,423.59
5035,141473,Top Performer,1,1,1,100.0,100.0,100.0,404.76,404.76,404.76
5097,439000,Top Performer,2,1,1,100.0,100.0,100.0,401.94,401.94,200.97
5421,287472,Top Performer,2,1,1,100.0,100.0,100.0,384.76,384.76,192.38
5753,80813,Top Performer,2,1,1,100.0,100.0,100.0,368.02,368.02,184.01
6106,389950,Top Performer,2,1,1,200.0,100.0,50.0,349.75,349.75,174.88
6500,206189,Top Performer,2,1,1,100.0,100.0,100.0,327.26,327.26,163.63
6637,109327,Top Performer,1,1,1,200.0,100.0,50.0,319.68,319.68,319.68
6690,90660,Top Performer,2,1,1,0.0,100.0,0.0,317.1,317.1,158.55
7112,220498,Top Performer,2,1,1,100.0,100.0,100.0,296.01,296.01,148.0
7379,132057,Top Performer,2,1,1,100.0,100.0,100.0,281.86,281.86,140.93
7674,60888,Top Performer,3,1,1,200.0,100.0,50.0,266.35,266.35,88.78
7720,13001,Top Performer,1,1,1,100.0,100.0,100.0,264.02,264.02,264.02
8115,322892,Top Performer,4,2,2,50.0,100.0,200.0,242.28,121.14,60.57
8357,370140,Top Performer,1,1,1,200.0,100.0,50.0,229.58,229.58,229.58
8467,353222,Top Performer,1,1,1,100.0,100.0,100.0,223.81,223.81,223.81
8586,22626,Top Performer,2,1,1,100.0,100.0,100.0,218.4,218.4,109.2
8674,274731,Top Performer,1,1,1,100.0,100.0,100.0,213.74,213.74,213.74
8793,422022,Top Performer,1,1,1,100.0,100.0,100.0,208.11,208.11,208.11
8827,251040,Top Performer,2,1,1,200.0,100.0,50.0,206.36,206.36,103.18
8951,50722,Top Performer,2,1,1,100.0,100.0,100.0,199.36,199.36,99.68
9092,228017,Top Performer,2,1,1,100.0,100.0,100.0,190.32,190.32,95.16
9144,280247,Top Performer,2,1,1,100.0,100.0,100.0,187.27,187.27,93.64
9499,142547,Top Performer,1,1,1,100.0,100.0,100.0,167.42,167.42,167.42
9543,432705,Top Performer,1,1,1,100.0,100.0,100.0,164.73,164.73,164.73
9568,292320,Top Performer,1,1,1,100.0,100.0,100.0,163.75,163.75,163.75
9573,442610,Top Performer,2,1,1,0.0,100.0,0.0,163.46,163.46,81.73
9710,199279,Top Performer,2,2,2,200.0,100.0,50.0,153.28,76.64,76.64
9953,441069,Top Performer,2,1,1,100.0,100.0,100.0,140.01,140.01,70.0
10024,186745,Top Performer,2,1,1,100.0,100.0,100.0,134.57,134.57,67.28
10175,78448,Top Performer,1,1,1,100.0,100.0,100.0,125.4,125.4,125.4
10370,224166,Top Performer,1,1,1,100.0,100.0,100.0,113.64,113.64,113.64
10845,200056,Top Performer,2,1,1,0.0,100.0,0.0,86.57,86.57,43.28
11657,10094,Top Performer,2,1,1,100.0,100.0,100.0,34.39,34.39,17.2
11740,242156,Top Performer,2,1,1,100.0,100.0,100.0,28.82,28.82,14.41
11746,201985,Top Performer,2,1,1,100.0,100.0,100.0,28.51,28.51,14.26
11769,269611,Top Performer,1,1,1,100.0,100.0,100.0,27.15,27.15,27.15
11795,145298,Top Performer,3,1,1,200.0,100.0,50.0,25.36,25.36,8.45
11976,167985,Top Performer,1,1,1,100.0,100.0,100.0,13.41,13.41,13.41
1954,307117,Top Performer,7,5,4,0.0,80.0,0.0,710.03,177.5075,101.43
3012,285637,Top Performer,4,4,3,50.0,75.0,150.0,511.37,170.45666666666668,127.84
2401,123448,Top Performer,8,3,2,166.67,66.67,40.0,617.56,308.78,77.19
2437,298904,Top Performer,2,3,2,66.67,66.67,100.0,610.4,305.2,305.2
2643,96441,Top Performer,4,3,2,133.33,66.67,50.0,576.9100000000001,288.45500000000004,144.23
6451,259647,Top Performer,4,3,2,166.67,66.67,40.0,329.96,164.98,82.49
10483,93829,Top Performer,4,3,2,166.67,66.67,40.0,108.27,54.135,27.07
772,357529,Top Performer,9,8,5,100.0,62.5,62.5,1140.39,228.07800000000003,126.71
2478,341869,Top Performer,4,5,3,100.0,60.0,60.0,603.01,201.00333333333333,150.75
592,307733,Top Performer,6,7,4,85.71,57.14,66.67,1277.94,319.485,212.99
920,8015,Top Performer,9,12,6,58.33,50.0,85.71,1034.73,172.455,114.97
1552,248908,Top Performer,4,4,2,75.0,50.0,66.67,811.43,405.715,202.86
1709,252023,Top Performer,5,4,2,50.0,50.0,100.0,771.05,385.525,154.21
2233,57247,Top Performer,7,6,3,66.67,50.0,75.0,651.15,217.05,93.02
