rank,product_id,category,unique_users,views,add_to_carts,purchases,view_to_cart_rate,view_to_purchase_rate,cart_to_purchase_rate,total_revenue,avg_price,revenue_per_user,revenue_per_view,events_per_user
1,461686,Top Performer,1497,2538,304,133,11.98,5.24,43.75,34781.58,261.5156390977444,23.23,13.7,1.99
2,119736,Top Performer,303,752,44,97,5.85,12.9,220.45,25282.27,260.6419587628866,83.44,33.62,2.95
3,213834,Top Performer,273,293,17,92,5.8,31.4,541.18,22802.08,247.84869565217397,83.52,77.82,1.47
4,445351,Top Performer,652,939,89,45,9.48,4.79,50.56,11453.55,254.5233333333333,17.57,12.2,1.65
5,409804,Top Performer,481,647,152,35,23.49,5.41,23.03,11335.82,323.88057142857144,23.57,17.52,1.73
6,7943,Top Performer,881,1346,97,46,7.21,3.42,47.42,11117.31,241.68065217391305,12.62,8.26,1.69
7,248455,Top Performer,308,575,52,38,9.04,6.61,73.08,10982.22,289.0057894736842,35.66,19.1,2.16
8,420960,Top Performer,394,795,60,38,7.55,4.78,63.33,10591.4,278.7210526315789,26.88,13.32,2.27
9,312728,Top Performer,671,947,161,46,17.0,4.86,28.57,10416.84,226.45304347826087,15.52,11.0,1.72
10,48030,Top Performer,654,986,95,41,9.63,4.16,43.16,9917.73,241.89585365853657,15.16,10.06,1.72
11,17478,Top Performer,396,631,72,37,11.41,5.86,51.39,9071.01,245.16243243243244,22.91,14.38,1.87
12,416017,Top Performer,195,393,49,32,12.47,8.14,65.31,8721.960000000001,272.56125000000003,44.73,22.19,2.43
13,334401,Top Performer,168,200,8,28,4.0,14.0,350.0,7975.93,284.8546428571429,47.48,39.88,1.4
14,369447,Top Performer,627,1103,80,31,7.25,2.81,38.75,7885.49,254.37064516129035,12.58,7.15,1.94
15,268883,Top Performer,347,597,52,29,8.71,4.86,55.77,7613.51,262.5348275862069,21.94,12.75,1.95
16,441852,Top Performer,667,860,90,27,10.47,3.14,30.0,7441.3,275.60370370370373,11.16,8.65,1.46
17,46156,Top Performer,299,468,52,31,11.11,6.62,59.62,7436.7,239.8935483870968,24.87,15.89,1.84
18,320130,Top Performer,918,1333,141,33,10.58,2.48,23.4,7222.97,218.8778787878788,7.87,5.42,1.64
19,257040,Top Performer,1017,1531,89,27,5.81,1.76,30.34,6929.95,256.6648148148148,6.81,4.53,1.62
20,37029,Top Performer,796,1131,71,25,6.28,2.21,35.21,6422.21,256.8884,8.07,5.68,1.54
21,9877,Top Performer,503,1067,70,25,6.56,2.34,35.71,6286.66,251.4664,12.5,5.89,2.31
22,318333,Top Performer,427,558,44,23,7.89,4.12,52.27,5788.43,251.6708695652174,13.56,10.37,1.46
23,138427,Top Performer,443,626,34,20,5.43,3.19,58.82,5527.16,276.358,12.48,8.83,1.53
24,190000,Top Performer,873,1164,47,20,4.04,1.72,42.55,5441.21,272.0605,6.23,4.67,1.41
25,450082,Top Performer,268,435,33,22,7.59,5.06,66.67,5172.08,235.09454545454545,19.3,11.89,1.83
26,369158,Top Performer,330,419,25,19,5.97,4.53,76.0,5145.82,270.83263157894737,15.59,12.28,1.4
27,46232,Top Performer,493,610,72,19,11.8,3.11,26.39,5135.87,270.30894736842106,10.42,8.42,1.42
28,546,Top Performer,320,589,45,23,7.64,3.9,51.11,5093.59,221.4604347826087,15.92,8.65,2.05
29,384302,High Revenue,1175,1528,65,15,4.25,0.98,23.08,5085.86,339.0573333333333,4.33,3.33,1.37
30,417927,Top Performer,191,363,34,18,9.37,4.96,52.94,4870.8,270.6,25.5,13.42,2.17
31,29196,Top Performer,670,912,135,19,14.8,2.08,14.07,4825.92,253.99578947368423,7.2,5.29,1.59
32,444190,Top Performer,236,336,52,15,15.48,4.46,28.85,4815.43,321.0286666666667,20.4,14.33,1.71
33,10572,Top Performer,220,283,52,19,18.37,6.71,36.54,4811.02,253.2115789473684,21.87,17.0,1.61
34,222888,Top Performer,230,414,58,20,14.01,4.83,34.48,4796.37,239.8185,20.85,11.59,2.14
35,301721,Top Performer,238,270,35,18,12.96,6.67,51.43,4694.6,260.8111111111112,19.73,17.39,1.36
36,372188,Top Performer,256,363,26,14,7.16,3.86,53.85,4531.83,323.70214285714286,17.7,12.48,1.57
37,12217,Top Performer,661,839,44,13,5.24,1.55,29.55,4384.639999999999,337.28,6.63,5.23,1.36
38,369933,Top Performer,213,298,29,17,9.73,5.7,58.62,4289.67,252.33352941176472,20.14,14.39,1.62
39,368403,Top Performer,171,366,24,14,6.56,3.83,58.33,4283.27,305.9478571428572,25.05,11.7,2.36
40,288525,Top Performer,170,178,20,16,11.24,8.99,80.0,4232.23,264.514375,24.9,23.78,1.26
41,379520,Top Performer,284,495,37,17,7.47,3.43,45.95,4215.17,247.95117647058825,14.84,8.52,1.93
42,382885,Top Performer,100,232,23,19,9.91,8.19,82.61,4159.1,218.9,41.59,17.93,2.74
43,92466,Top Performer,144,181,30,16,16.57,8.84,53.33,4137.35,258.584375,28.73,22.86,1.58
44,42002,Top Performer,267,448,23,16,5.13,3.57,69.57,3997.17,249.823125,14.97,8.92,1.82
45,210087,Top Performer,243,365,20,12,5.48,3.29,60.0,3979.43,331.6191666666667,16.38,10.9,1.63
46,315543,Top Performer,577,1043,46,14,4.41,1.34,30.43,3956.92,282.63714285714286,6.86,3.79,1.91
47,153778,Top Performer,410,581,27,14,4.65,2.41,51.85,3943.91,281.7078571428571,9.62,6.79,1.52
48,170262,Top Performer,285,356,31,15,8.71,4.21,48.39,3923.19,261.546,13.77,11.02,1.41
49,217605,Top Performer,148,232,23,19,9.91,8.19,82.61,3878.55,204.1342105263158,26.21,16.72,1.85
50,309778,High Revenue,1072,1565,48,15,3.07,0.96,31.25,3864.52,257.63466666666665,3.6,2.47,1.52
51,256146,Top Performer,112,130,24,14,18.46,10.77,58.33,3699.03,264.2164285714286,33.03,28.45,1.5
52,339703,Top Performer,479,614,61,9,9.93,1.47,14.75,3669.66,407.74,7.66,5.98,1.43
53,234255,Top Performer,1008,1214,77,16,6.34,1.32,20.78,3663.51,228.969375,3.63,3.02,1.3
54,448453,Top Performer,277,456,32,16,7.02,3.51,50.0,3651.09,228.193125,13.18,8.01,1.82
55,290999,Top Performer,735,928,32,12,3.45,1.29,37.5,3622.04,301.83666666666664,4.93,3.9,1.32
56,100282,Top Performer,285,365,26,12,7.12,3.29,46.15,3595.04,299.58666666666664,12.61,9.85,1.41
57,316753,Top Performer,551,696,84,14,12.07,2.01,16.67,3569.32,254.95142857142855,6.48,5.13,1.44
58,65273,Top Performer,801,1076,63,13,5.86,1.21,20.63,3564.08,274.16,4.45,3.31,1.44
59,172894,Top Performer,254,403,25,13,6.2,3.23,52.0,3558.14,273.70307692307694,14.01,8.83,1.74
60,246532,Top Performer,80,113,15,11,13.27,9.73,73.33,3540.34,321.84909090909093,44.25,31.33,1.74
61,460553,Top Performer,138,194,17,13,8.76,6.7,76.47,3532.48,271.72923076923075,25.6,18.21,1.62
62,80858,Top Performer,107,177,25,12,14.12,6.78,48.0,3506.38,292.1983333333333,32.77,19.81,2.0
63,340375,Top Performer,261,355,30,11,8.45,3.1,36.67,3341.3900000000003,303.7627272727273,12.8,9.41,1.52
64,23762,Top Performer,320,521,36,15,6.91,2.88,41.67,3321.76,221.45066666666668,10.38,6.38,1.79
65,186702,Top Performer,127,162,11,12,6.79,7.41,109.09,3286.68,273.89,25.88,20.29,1.46
66,228392,Top Performer,327,418,18,10,4.31,2.39,55.56,3263.6,326.36,9.98,7.81,1.36
67,122604,Top Performer,576,709,48,13,6.77,1.83,27.08,3256.26,250.48153846153843,5.65,4.59,1.34
68,211418,Top Performer,164,249,26,10,10.44,4.02,38.46,3255.69,325.569,19.85,13.08,1.74
69,51354,Top Performer,217,352,19,11,5.4,3.12,57.89,3248.4,295.3090909090909,14.97,9.23,1.76
70,231482,Top Performer,571,734,39,12,5.31,1.63,30.77,3236.27,269.68916666666667,5.67,4.41,1.37
71,266900,Top Performer,510,746,35,12,4.69,1.61,34.29,3225.84,268.82,6.33,4.32,1.55
72,91888,Top Performer,138,198,20,11,10.1,5.56,55.0,3207.57,291.59727272727275,23.24,16.2,1.66
73,132683,Top Performer,313,422,38,15,9.0,3.55,39.47,3199.03,213.26866666666663,10.22,7.58,1.52
74,171878,Top Performer,271,391,46,13,11.76,3.32,28.26,3198.45,246.03461538461536,11.8,8.18,1.66
75,57245,Top Performer,138,218,17,11,7.8,5.05,64.71,3189.64,289.9672727272727,23.11,14.63,1.78
76,140527,Top Performer,92,111,31,12,27.93,10.81,38.71,3149.7,262.475,34.24,28.38,1.67
77,315545,Top Performer,649,874,20,11,2.29,1.26,55.0,3128.5,284.40909090909093,4.82,3.58,1.39
78,399192,Top Performer,81,152,18,12,11.84,7.89,66.67,3107.24,258.93666666666667,38.36,20.44,2.25
79,465522,Top Performer,209,290,23,10,7.93,3.45,43.48,3082.95,308.295,14.75,10.63,1.55
80,167769,Top Performer,110,170,12,9,7.06,5.29,75.0,3068.89,340.9877777777777,27.9,18.05,1.74
81,355994,Top Performer,506,680,34,13,5.0,1.91,38.24,3064.85,235.7576923076923,6.06,4.51,1.44
82,448494,Top Performer,166,199,18,10,9.05,5.03,55.56,3064.37,306.437,18.46,15.4,1.37
83,330469,Top Performer,102,151,19,10,12.58,6.62,52.63,3057.09,305.709,29.97,20.25,1.76
84,379953,Top Performer,68,67,15,11,22.39,16.42,73.33,3054.49,277.6809090909091,44.92,45.59,1.37
85,354881,Top Performer,129,211,26,12,12.32,5.69,46.15,3047.57,253.96416666666667,23.62,14.44,1.93
86,92361,Top Performer,238,286,24,10,8.39,3.5,41.67,3040.26,304.026,12.77,10.63,1.34
87,241555,Top Performer,466,907,40,13,4.41,1.43,32.5,3013.94,231.84153846153848,6.47,3.32,2.06
88,464731,Top Performer,300,472,30,10,6.36,2.12,33.33,3007.11,300.711,10.02,6.37,1.71
89,165337,Top Performer,154,235,13,10,5.53,4.26,76.92,3006.71,300.671,19.52,12.79,1.68
90,299222,Top Performer,529,640,34,11,5.31,1.72,32.35,2969.5,269.95454545454544,5.61,4.64,1.29
91,120098,Top Performer,115,165,24,10,14.55,6.06,41.67,2966.4700000000003,296.64700000000005,25.8,17.98,1.73
92,338660,Top Performer,392,525,27,10,5.14,1.9,37.04,2947.83,294.783,7.52,5.61,1.43
93,133907,Top Performer,747,909,29,10,3.19,1.1,34.48,2929.31,292.931,3.92,3.22,1.27
94,358895,Top Performer,68,151,13,11,8.61,7.28,84.62,2924.45,265.85909090909087,43.01,19.37,2.57
95,436694,Top Performer,92,155,15,10,9.68,6.45,66.67,2911.01,291.101,31.64,18.78,1.96
96,29757,Top Performer,172,222,41,9,18.47,4.05,21.95,2899.69,322.1877777777778,16.86,13.06,1.58
97,303715,Top Performer,586,810,28,9,3.46,1.11,32.14,2897.31,321.92333333333335,4.94,3.58,1.45
98,321089,Top Performer,115,128,12,11,9.38,8.59,91.67,2888.88,262.62545454545455,25.12,22.57,1.31
99,116624,Top Performer,252,363,16,9,4.41,2.48,56.25,2859.5,317.72222222222223,11.35,7.88,1.54
100,150215,Top Performer,116,162,11,9,6.79,5.56,81.82,2853.92,317.1022222222222,24.6,17.62,1.57
