rank,product_id,category,unique_users,views,add_to_carts,purchases,view_to_cart_rate,view_to_purchase_rate,total_revenue,avg_price
190577,187946,High Revenue,2922,3410,2,0,0.06,0.0,0.0,0.0
156643,5411,High Revenue,2099,2325,9,0,0.39,0.0,0.0,0.0
97573,370653,High Revenue,1610,1854,0,0,0.0,0.0,0.0,0.0
53834,298009,High Revenue,1360,1642,0,0,0.0,0.0,0.0,0.0
148013,96924,High Revenue,1371,1633,0,0,0.0,0.0,0.0,0.0
24065,335975,High Revenue,1178,1428,0,0,0.0,0.0,0.0,0.0
231055,151444,High Revenue,1112,1230,0,0,0.0,0.0,0.0,0.0
212532,142466,High Revenue,942,1135,1,0,0.09,0.0,0.0,0.0
67431,434782,High Revenue,940,1069,0,0,0.0,0.0,0.0,0.0
145575,91755,High Revenue,861,1024,0,0,0.0,0.0,0.0,0.0
145919,102306,High Revenue,862,1013,0,0,0.0,0.0,0.0,0.0
4937,350629,High Revenue,718,995,20,3,2.01,0.3,410.22,136.74
9444,354233,High Revenue,856,983,24,1,2.44,0.1,170.1,170.1
153872,29100,High Revenue,685,982,0,0,0.0,0.0,0.0,0.0
5876,341482,High Revenue,743,884,5,1,0.57,0.11,361.66,361.66
683,393028,High Revenue,684,825,22,4,2.67,0.48,1206.97,301.7425
193935,225778,High Revenue,685,767,0,0,0.0,0.0,0.0,0.0
135287,109618,High Revenue,527,764,0,0,0.0,0.0,0.0,0.0
1820,394678,High Revenue,578,762,10,3,1.31,0.39,745.87,248.6233333333333
201889,209994,High Revenue,669,753,0,0,0.0,0.0,0.0,0.0
198027,232509,High Revenue,686,746,0,0,0.0,0.0,0.0,0.0
102810,359491,High Revenue,586,736,0,0,0.0,0.0,0.0,0.0
64751,429094,High Revenue,641,727,0,0,0.0,0.0,0.0,0.0
151172,15948,High Revenue,625,711,0,0,0.0,0.0,0.0,0.0
3043,351044,High Revenue,552,690,3,2,0.43,0.29,506.26,253.13
72190,413166,High Revenue,581,670,0,0,0.0,0.0,0.0,0.0
6422,272770,High Revenue,499,651,6,3,0.92,0.46,331.53000000000003,110.51
201050,215715,High Revenue,505,637,0,0,0.0,0.0,0.0,0.0
50821,290250,High Revenue,576,634,0,0,0.0,0.0,0.0,0.0
2900,320494,High Revenue,411,614,19,3,3.09,0.49,531.64,177.21333333333334
90593,445749,High Revenue,512,606,0,0,0.0,0.0,0.0,0.0
12287,316779,High Revenue,538,604,0,0,0.0,0.0,0.0,0.0
230284,149275,High Revenue,490,604,0,0,0.0,0.0,0.0,0.0
181448,206880,High Revenue,450,598,14,0,2.34,0.0,0.0,0.0
11204,453618,High Revenue,464,590,13,1,2.2,0.17,63.72,63.72
1463,91105,High Revenue,484,585,10,2,1.71,0.34,836.21,418.105
4225,216305,High Revenue,446,585,2,1,0.34,0.17,446.23,446.23
88802,449571,High Revenue,520,584,0,0,0.0,0.0,0.0,0.0
36749,260539,High Revenue,398,574,0,0,0.0,0.0,0.0,0.0
110684,403757,High Revenue,491,573,0,0,0.0,0.0,0.0,0.0
193254,231243,High Revenue,367,565,7,0,1.24,0.0,0.0,0.0
55620,294482,High Revenue,409,553,0,0,0.0,0.0,0.0,0.0
2778,235224,High Revenue,417,542,7,2,1.29,0.37,551.35,275.675
36594,260650,High Revenue,438,542,0,0,0.0,0.0,0.0,0.0
